record_type,case,name,decoder_stage,model_output_list_index,internal_stage_index,encoder_skip_index,upsampling_order,is_final_output,head_type,observed_raw_patch_shape,aligned_patch_shape,upsample_factor_to_final,prompt,threshold,gt_voxels,gt_volume_mm3,pred_voxels,pred_volume_mm3,pred_gt_volume_ratio,dice,iou,precision,recall,cc_count,cc_volume_median_voxels,cc_volume_median_mm3,small_cc_count_fraction,small_cc_voxel_fraction,small_component_max_voxels,lhs,rhs,pairwise_dice,fp_overlap,fp_overlap_dice,fn_overlap,fn_overlap_dice,intersection_voxels,union_voxels,mean_probability,d25_intersection_voxels,d25_union_voxels,majority_vote_voxels,independent_tp_voxels,independent_fp_voxels,independent_fn_recovery,r1_voxels,r1_volume_mm3,r1_tp_voxels,r1_fp_voxels,extra_precision,fn_recovery,merge_added_tp_voxels,merge_added_fp_voxels,merge_dice,merge_recall,merge_precision,delta_dice,delta_recall,delta_precision
pairwise,CYST_PA74,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 5,0.9209384162077435,0.4350798644724105,0.6063493401914077,0.2815508412582297,0.4393908258556522,14382,33056,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA74,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 4,Decoder 5,0.9449080199752443,0.5434744164112237,0.7042221246204671,0.3635093486747483,0.533196708959947,18439,33928,,,,,,,,,,,,,,,,,,,,,
independent_vs_final,CYST_PA74,Decoder 2,2,,,3,2,False,,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406,6574,0.11951717103026181,,,,,,,,,,,,,,
independent_vs_final,CYST_PA74,Decoder 3,3,,,2,3,False,,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142,8916,0.18208092485549132,,,,,,,,,,,,,,
independent_vs_final,CYST_PA74,Decoder 4,4,,,1,4,False,,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2918,9788,0.24804488269296157,,,,,,,,,,,,,,
independent_vs_final,CYST_PA74,Decoder 5,5,,,0,5,True,,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,
ensemble,CYST_PA74,d2_d5_intersection,,,,,,,,[],[],[],,0.5,271555,,202161,,,0.8240253654088103,0.700716955255817,0.9654532773383591,0.7187383771243394,,,,,,,,,,,,,,195177,278539,0.04896320030093193,202161,302831,256513,,,,,,,,,,,,,,,,,
ensemble,CYST_PA74,d2_d5_union,,,,,,,,[],[],[],,0.5,271555,,302831,,,0.9172194308357098,0.8470963156862303,0.8698548035042648,0.970039218574506,,,,,,,,,,,,,,263419,310967,0.04896320030093193,202161,302831,256513,,,,,,,,,,,,,,,,,
ensemble,CYST_PA74,d2_d5_majority_vote,,,,,,,,[],[],[],,0.5,271555,,256513,,,0.9071558965890757,0.830087195198026,0.9337538448343748,0.8820312643847471,,,,,,,,,,,,,,239520,288548,0.04896320030093193,202161,302831,256513,,,,,,,,,,,,,,,,,
ensemble,CYST_PA74,d2_d5_average_probability,,,,,,,,[],[],[],,0.5,271555,,265908,,,0.9143587558585429,0.8422291993720565,0.924067722670999,0.9048516875034524,,,,,,,,,,,,,,245717,291746,0.04896320030093193,202161,302831,256513,,,,,,,,,,,,,,,,,
layer,FNH_PA10,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,1005753,1329672.7679964988,7776713,10281334.980481645,7.732229483779815,0.061240658375449446,0.03158755037854975,0.034580419773752744,0.26738374133609344,26,184.5,243.92134619071882,0.38461538461538464,7.38101046033202e-05,100,,,,,,,,268922,8513544,,,,,,,,,,,,,,,,,,,,,
layer,FNH_PA10,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,1005753,1329672.7679964988,989291,1307908.9024084683,0.9836321641595899,0.9208348287055323,0.8532844213281857,0.9284962665181428,0.9132987920493402,4,823.5,1088.7221061683304,0.5,4.447629666094203e-05,100,,,,,,,,918553,1076491,,,,,,,,,,,,,,,,,,,,,
layer,FNH_PA10,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,1005753,1329672.7679964988,1024496,1354452.2682222584,1.0186357883098534,0.927550266001855,0.8648892685570466,0.9190655698021271,0.9361930812038344,3,4974.0,6575.960845271737,0.0,0.0,100,,,,,,,,941579,1088670,,,,,,,,,,,,,,,,,,,,,
layer,FNH_PA10,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,1005753,1329672.7679964988,1037239,1371299.3669458807,1.0313058971735605,0.9328621942719306,0.8741721915057377,0.918703403940654,0.9474642382374201,4,70.5,93.20571765011208,0.75,0.00014365059547510265,100,,,,,,,,952915,1090077,,,,,,,,,,,,,,,,,,,,,
layer,FNH_PA10,Decoder 5,5,0,4,0,5,True,final_mask_einsum,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",liver,0.5,1005753,1329672.7679964988,1041035,1376317.9329628996,1.0350801837031558,0.9447827522928608,0.8953443040717546,0.9287728078306685,0.9613543285478642,13,4.0,5.288267668091465,0.9230769230769231,0.000250712031776069,100,,,,,,,,966885,1079903,,,,,,,,,,,,,,,,,,,,,
